"ID","lugar_emplazamiento_propiedad","denominacion","espacio_de_memoria","ubicacion","lon","lat"
1,"POLICÍA FEDERAL","OLIMPO",TRUE,"RAMÓN FALCÓN 4151 · Vélez Sarsfield · CAPITAL FEDERAL                                                                 DIVISIÓN AUTOMOTORES DE LA POLICÍA FEDERAL",-58.3877888,-34.612964
2,"EJÉRCITO","LA PERLA",TRUE,"Ruta Nac. Nº 20 Km 12 · MALAGUEÑO · SANTA MARÍA · CÓRDOBA                          EX DEPCIAS. DEL ARMA BRIGADA DE CABALLERÍA AEROTRANSPORTADA (CUERPO DE EJÉRCITO III)",-64.3517688,-31.4609319
3,"ARMADA","ESCUELA DE MECÁNICA DE LA ARMADA (ESMA)                                                         UNIDAD DE COMANDO ÁREA IIIA",TRUE,"Av. DEL LIBERTADOR 8151 · Núñez · CAPITAL FEDERAL",-58.4640528,-34.5399874
4,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL DE VILLA LAS ROSAS",FALSE,"Av. HIPÓLITO YRIGOYEN 841 · Villa las Rosas · SALTA · CAPITAL · SALTA",-65.3965808,-24.8072885
5,"POLICÍA PROVINCIAL","EL BANCO",FALSE,"Autopista RICCHIERI (a 400 m de Camino de Cintura) · CIUDAD EVITA · LA MATANZA · BUENOS AIRES DIVISIÓN CUATRERISMO (AGRUPACIÓN ""GÜEMES"")",-58.284482,-34.7758363
6,"EJÉRCITO","COMPAÑÍA DE COMUNICACIONES DE MONTAÑA 8 / CDO. DE BRIGADA DE INFANTERÍA DE MONTAÑA VIII                          UNIDAD DE COMANDO DE SUBZONA 33",FALSE,"BOULOGNE SUR MER y JOAQUÍN V. GONZÁLEZ · MENDOZA · CAPITAL · MENDOZA",-68.8601399,-32.8811119
7,"SERVICIO PENITENCIARIO PROVINCIAL","UNIDAD PENAL DE CORONDA",FALSE,"CORONDA · SAN JERÓNIMO · SANTA FE",-60.920606,-31.9734931
8,"POLICÍA PROVINCIAL","COMISARÍA 14ª DE ROSARIO",FALSE,"MARCOS PAZ 6650 (o HUMBERTO PRIMO 1782) · ROSARIO · SANTA FE",-60.711875,-32.9389649
9,"POLICÍA PROVINCIAL","DIVISIÓN CUATRERISMO (DESTACAMENTO DE ARANA)",TRUE,"Calle 640 y 131 · ARANA · LA PLATA · BUENOS AIRES",-57.8411844,-34.9546392
10,"POLICÍA PROVINCIAL","BRIGADA DE INVESTIGACIONES DE LANÚS / EL INFIERNO",TRUE,"12 DE OCTUBRE 234 · AVELLANEDA · BUENOS AIRES",-58.3588679,-34.6624321
13,"POLICÍA PROVINCIAL","BRIGADA DE INVESTIGACIONES DE LA POLICÍA DE SANTA FE / SERVICIO DE INFORMACIONES (D-2)",FALSE,"OBISPO GELABERT esq. SAN MARTÍN · SANTA FE · LA CAPITAL · SANTA FE",-60.7035927,-31.6368009
14,"SERVICIO PENITENCIARIO PROVINCIAL","ALCAIDÍA DE RESISTENCIA",FALSE,"USHUAIA s/nº · Villa Barberán · RESISTENCIA · SAN FERNANDO · CHACO",-68.3029511,-54.8019121
15,"POLICÍA FEDERAL","COMISARÍA 26ª DE CAPITAL FEDERAL",FALSE,"Av. MONTES DE OCA 861 · Barracas · CAPITAL FEDERAL",-58.3751496,-34.6382623
16,"SERVICIO PENITENCIARIO FEDERAL","UNIDAD PENAL 1 ""CASEROS""",FALSE,"Av. CASEROS entre PICHINCHA y PASCO · Parque Patricios · CAPITAL FEDERAL",-58.3948151,-34.6351226
18,"ARMADA","BATALLÓN DE INFANTERÍA DE MARINA 3                                                                                                               UNIDAD DE COMANDO ÁREA FT5",FALSE,"Calles 122 y 51 · DIQUE Nº 1 (EL DIQUE) · ENSENADA · BUENOS AIRES",-57.9290615,-34.8984843
